 Q-TABLE ,ACTIVE_LIMITER,PRESS_FULL_THROTTLE,PRESS_ACCELERATOR,PRESS_BRAKE,PULL_HAND_BRAKE,LET_IT_ROLL,
OFF_TRACK,0.0,0.0,0.0,0.0,0.0,0.0,
IN_STRAIGHT_LINE,0.0,-0.7,0.0,0.0,0.0,0.0,
IN_CURVE_LOW_SPEED,-0.8398320335298101,-0.8398320335298101,-0.8398320335298101,-0.8398320335298101,-0.8398320335298101,-0.8398320335298101,
IN_CURVE_HIGH_SPEED,-0.8398290544451313,-0.8398290544451313,-0.8398290544451313,-0.8398290544451313,-0.8398290544451313,-0.8398141408116008,
IN_CURVE_ENOUGH_SPEED,0.0,0.0,0.0,0.0,0.0,0.0,
IN_CURVE_BLOCKING,-0.8165499999999998,-0.8165499999999998,-0.8165499999999998,-0.8165499999999998,-0.8165499999999998,-0.7,
