 Q-TABLE ,ACTIVE_LIMITER,PRESS_FULL_THROTTLE,PRESS_ACCELERATOR,PRESS_BRAKE,PULL_HAND_BRAKE,LET_IT_ROLL,
OFF_TRACK,200.0,0.0,0.0,0.0,0.0,0.0,
IN_STRAIGHT_LINE,-0.8398320335932812,-0.8398320335932812,-0.8398320335932812,-0.8398320335932812,-0.8398320335932812,-0.8398320335932812,
IN_CURVE_LOW_SPEED,-0.8398320335932812,-0.8398320335932812,-0.8398320335932812,-0.8398320335932812,-0.8398320335932812,-0.8398320335932812,
IN_CURVE_HIGH_SPEED,0.0,0.0,0.0,200.0,0.0,0.0,
IN_CURVE_ENOUGH_SPEED,-0.7,0.0,0.0,0.0,0.0,-0.685481974225,
IN_CURVE_BLOCKING,-0.8398320335932812,-0.8398320335932812,-0.8398320335932812,-0.8398320335932812,-0.8398320335932812,-0.8398320335932812,
