 Q-TABLE ,KEEP_STEERING_WHEEL_STRAIGHT,TURN_STEERING_WHEEL,
STARTING_GRID,16.65,0.0,
LEFT_ROAD_AXIS,-0.8398001673604089,6.8603647835074,
RIGHT_ROAD_AXIS,-0.8398320335739285,8.177951528775633,
